Journal,ISSN,EISSN,Web of Science,IF(2025),Category_1,IF Quartile(2025)_1,IF Rank(2025)_1,Category_2,IF Quartile(2025)_2,IF Rank(2025)_2,Category_3,IF Quartile(2025)_3,IF Rank(2025)_3,Category_4,IF Quartile(2025)_4,IF Rank(2025)_4,Category_5,IF Quartile(2025)_5,IF Rank(2025)_5,Category_6,IF Quartile(2025)_6,IF Rank(2025)_6
SYNTHESE,0039-7857,1573-0964,"AHCI, SCIE, SSCI",1.5,HISTORY & PHILOSOPHY OF SCIENCE,Q1,21/111,PHILOSOPHY,N/A,N/A,,,,,,,,,,,,
BOSTON UNIVERSITY LAW REVIEW,0006-8047,0006-8047,SSCI,1.5,LAW,Q1,92/443,,,,,,,,,,,,,,,
Virtual Archaeology Review,1989-9947,1989-9947,ESCI,1.5,ARCHAEOLOGY,N/A,N/A,,,,,,,,,,,,,,,
Hypatia-A Journal of Feminist Philosophy,0887-5367,1527-2001,"AHCI, SSCI",1.5,PHILOSOPHY,N/A,N/A,WOMENS STUDIES,Q2,34/71,,,,,,,,,,,,
Corrections,2377-4657,2377-4665,ESCI,1.5,CRIMINOLOGY & PENOLOGY,Q3,59/113,,,,,,,,,,,,,,,
China Review-An Interdisciplinary Journal on Greater China,1680-2012,1680-2012,SSCI,1.5,AREA STUDIES,Q1,38/184,,,,,,,,,,,,,,,
MODERN LAW REVIEW,0026-7961,1468-2230,SSCI,1.5,LAW,Q1,92/443,,,,,,,,,,,,,,,
WORLD ARCHAEOLOGY,0043-8243,1470-1375,AHCI,1.5,ARCHAEOLOGY,N/A,N/A,,,,,,,,,,,,,,,
CORNELL LAW REVIEW,0010-8847,0010-8847,SSCI,1.5,LAW,Q1,92/443,,,,,,,,,,,,,,,
Journal of Mathematics and Computer Science-JMCS,2008-949X,2008-949X,ESCI,1.5,MATHEMATICS,Q1,68/492,,,,,,,,,,,,,,,
International Journal of Discrimination and the Law,1358-2291,2047-9468,ESCI,1.5,LAW,Q1,92/443,,,,,,,,,,,,,,,
Journal of Moral Philosophy,1740-4681,1745-5243,"SSCI, AHCI",1.5,ETHICS,Q3,40/78,PHILOSOPHY,N/A,N/A,,,,,,,,,,,,
Journal of Interior Design,1071-7641,1939-1668,AHCI,1.5,ARCHITECTURE,N/A,N/A,,,,,,,,,,,,,,,
European Journal for Philosophy of Science,1879-4912,1879-4920,"AHCI, SCIE",1.5,HISTORY & PHILOSOPHY OF SCIENCE,Q1,21/111,,,,,,,,,,,,,,,
Law & Social Inquiry,0897-6546,1747-4469,SSCI,1.5,LAW,Q1,92/443,,,,,,,,,,,,,,,
JOURNAL OF PSYCHOLOGY AND THEOLOGY,0091-6471,2328-1162,"SSCI, AHCI",1.5,"PSYCHOLOGY, MULTIDISCIPLINARY",Q3,124/222,RELIGION,N/A,N/A,,,,,,,,,,,,
Landscape Journal,0277-2426,1553-2704,ESCI,1.5,ARCHITECTURE,N/A,N/A,,,,,,,,,,,,,,,
International Journal of Law Crime and Justice,1756-0616,1876-763X,SSCI,1.5,CRIMINOLOGY & PENOLOGY,Q3,59/113,LAW,Q1,92/443,,,,,,,,,,,,
Journal of Applied Mathematics and Computational Mechanics,2299-9965,2353-0588,ESCI,1.5,MATHEMATICS,Q1,68/492,,,,,,,,,,,,,,,
JOURNAL OF GEOMETRIC ANALYSIS,1050-6926,1559-002X,SCIE,1.5,MATHEMATICS,Q1,68/492,,,,,,,,,,,,,,,
London Review of International Law,2050-6325,2050-6333,ESCI,1.5,LAW,Q1,92/443,,,,,,,,,,,,,,,
Language Dynamics and Change,2210-5824,2210-5832,ESCI,1.5,LANGUAGE & LINGUISTICS,N/A,N/A,,,,,,,,,,,,,,,
ICSID Review-Foreign Investment Law Journal,0258-3690,2049-1999,SSCI,1.5,LAW,Q1,92/443,,,,,,,,,,,,,,,
Race and Justice,2153-3687,2153-3687,SSCI,1.5,CRIMINOLOGY & PENOLOGY,Q3,59/113,ETHNIC STUDIES,Q2,17/40,,,,,,,,,,,,
Empirical Studies of the Arts,0276-2374,1541-4493,"AHCI, SSCI",1.5,"HUMANITIES, MULTIDISCIPLINARY",N/A,N/A,"PSYCHOLOGY, MULTIDISCIPLINARY",Q3,124/222,,,,,,,,,,,,
JOURNAL OF SOCIAL ARCHAEOLOGY,1469-6053,1741-2951,"SSCI, AHCI",1.5,ANTHROPOLOGY,Q2,41/143,ARCHAEOLOGY,N/A,N/A,,,,,,,,,,,,
Psychology of Music,0305-7356,1741-3087,"AHCI, SSCI",1.5,MUSIC,N/A,N/A,"PSYCHOLOGY, APPLIED",Q3,78/115,"PSYCHOLOGY, EDUCATIONAL",Q3,53/73,"PSYCHOLOGY, EXPERIMENTAL",Q4,82/104,,,,,,
Human Rights Law Review,1461-7781,1744-1021,SSCI,1.5,INTERNATIONAL RELATIONS,Q2,84/173,LAW,Q1,92/443,,,,,,,,,,,,
Election Law Journal,1533-1296,1557-8062,ESCI,1.5,LAW,Q1,92/443,POLITICAL SCIENCE,Q2,163/332,,,,,,,,,,,,
Giornale Italiano di Cardiologia,1827-6806,1972-6481,ESCI,1.5,CARDIAC & CARDIOVASCULAR SYSTEMS,Q3,162/237,,,,,,,,,,,,,,,
Journal of Nonlinear and Variational Analysis,2560-6921,2560-6778,SCIE,1.5,MATHEMATICS,Q1,68/492,"MATHEMATICS, APPLIED",Q2,117/345,,,,,,,,,,,,
TOPICS IN EARLY CHILDHOOD SPECIAL EDUCATION,0271-1214,1538-4845,SSCI,1.5,"EDUCATION, SPECIAL",Q3,35/62,,,,,,,,,,,,,,,
JOURNAL OF LATIN AMERICAN STUDIES,0022-216X,1469-767X,"SSCI, AHCI",1.5,AREA STUDIES,Q1,38/184,"HUMANITIES, MULTIDISCIPLINARY",N/A,N/A,,,,,,,,,,,,
International Journal of Bilingualism,1367-0069,1756-6878,"AHCI, SSCI",1.5,LANGUAGE & LINGUISTICS,N/A,N/A,LINGUISTICS,Q2,112/312,,,,,,,,,,,,
Palaeoworld,1871-174X,1875-5887,SCIE,1.5,PALEONTOLOGY,Q2,29/58,,,,,,,,,,,,,,,
Journal of Linguistic Anthropology,1055-1360,1548-1395,"SSCI, AHCI",1.5,ANTHROPOLOGY,Q2,41/143,LANGUAGE & LINGUISTICS,N/A,N/A,LINGUISTICS,Q2,112/312,,,,,,,,,
Archaeological Research in Asia,2352-2267,2352-2275,AHCI,1.5,ARCHAEOLOGY,N/A,N/A,,,,,,,,,,,,,,,
PSYCHOLOGY PUBLIC POLICY AND LAW,1076-8971,1939-1528,SSCI,1.5,HEALTH POLICY & SERVICES,Q4,101/125,LAW,Q1,92/443,"PSYCHOLOGY, MULTIDISCIPLINARY",Q3,124/222,,,,,,,,,
Arab World English Journal,2229-9327,2229-9327,ESCI,1.5,LANGUAGE & LINGUISTICS,N/A,N/A,,,,,,,,,,,,,,,
Law Technology and Humans,N/A,2652-4074,ESCI,1.5,LAW,Q1,92/443,"SOCIAL SCIENCES, INTERDISCIPLINARY",Q2,99/275,,,,,,,,,,,,
Reading & Writing Quarterly,1057-3569,1521-0693,SSCI,1.5,EDUCATION & EDUCATIONAL RESEARCH,Q2,362/760,"EDUCATION, SPECIAL",Q3,35/62,,,,,,,,,,,,
Critical Studies on Terrorism,1753-9153,1753-9161,ESCI,1.5,POLITICAL SCIENCE,Q2,163/332,,,,,,,,,,,,,,,
Fascism,2211-6249,2211-6257,ESCI,1.5,"HUMANITIES, MULTIDISCIPLINARY",N/A,N/A,,,,,,,,,,,,,,,
Journal of Developmental and Life-Course Criminology,2199-4641,2199-465X,SSCI,1.5,CRIMINOLOGY & PENOLOGY,Q3,59/113,,,,,,,,,,,,,,,
LINGUISTICS AND PHILOSOPHY,0165-0157,1573-0549,"AHCI, SSCI",1.5,LANGUAGE & LINGUISTICS,N/A,N/A,LINGUISTICS,Q2,112/312,,,,,,,,,,,,
International Journal for Crime Justice and Social Democracy,2202-7998,2202-8005,ESCI,1.5,CRIMINOLOGY & PENOLOGY,Q3,59/113,,,,,,,,,,,,,,,
Journal of Competition Law & Economics,1744-6414,1744-6422,SSCI,1.5,ECONOMICS,Q3,317/626,LAW,Q1,92/443,,,,,,,,,,,,
Axioms,N/A,2075-1680,SCIE,1.5,"MATHEMATICS, APPLIED",Q2,117/345,,,,,,,,,,,,,,,
Journal of Community Practice,1070-5422,1543-3706,ESCI,1.5,SOCIAL WORK,Q2,34/99,,,,,,,,,,,,,,,
MIDDLE EAST POLICY,1061-1924,1475-4967,SSCI,1.5,AREA STUDIES,Q1,38/184,INTERNATIONAL RELATIONS,Q2,84/173,,,,,,,,,,,,
Anthropology of Work Review,0883-024X,1548-1417,ESCI,1.5,ANTHROPOLOGY,Q2,41/143,,,,,,,,,,,,,,,
Malaysian Journal of Mathematical Sciences,1823-8343,1823-8343,ESCI,1.5,MATHEMATICS,Q1,68/492,,,,,,,,,,,,,,,
Journal of Applied Analysis and Computation,2156-907X,2158-5644,SCIE,1.5,"MATHEMATICS, APPLIED",Q2,117/345,,,,,,,,,,,,,,,
Advances in Calculus of Variations,1864-8258,1864-8266,SCIE,1.5,MATHEMATICS,Q1,68/492,"MATHEMATICS, APPLIED",Q2,117/345,,,,,,,,,,,,
Journal of World Energy Law & Business,1754-9957,1754-9965,SSCI,1.5,BUSINESS,Q3,235/323,LAW,Q1,92/443,,,,,,,,,,,,
ANNALI DELLA SCUOLA NORMALE SUPERIORE DI PISA-CLASSE DI SCIENZE,0391-173X,2036-2145,SCIE,1.5,MATHEMATICS,Q1,68/492,,,,,,,,,,,,,,,
European Journal of Law and Economics,0929-1261,1572-9990,SSCI,1.5,ECONOMICS,Q3,317/626,LAW,Q1,92/443,,,,,,,,,,,,
Psychoanalytic Study of the Child,0079-7308,2474-3356,SSCI,1.5,PSYCHIATRY,Q3,219/293,"PSYCHOLOGY, PSYCHOANALYSIS",Q1,2/24,,,,,,,,,,,,
Child & Family Social Work,1356-7500,1365-2206,SSCI,1.5,FAMILY STUDIES,Q2,31/66,SOCIAL WORK,Q2,34/99,,,,,,,,,,,,
European Journal of Crime Criminal Law and Criminal Justice,0928-9569,1571-8174,ESCI,1.5,LAW,Q1,92/443,,,,,,,,,,,,,,,
BULLETIN DES SCIENCES MATHEMATIQUES,0007-4497,1952-4773,SCIE,1.5,MATHEMATICS,Q1,68/492,"MATHEMATICS, APPLIED",Q2,117/345,,,,,,,,,,,,
CRIME & DELINQUENCY,0011-1287,1552-387X,SSCI,1.5,CRIMINOLOGY & PENOLOGY,Q3,59/113,,,,,,,,,,,,,,,
GEOBIOS,0016-6995,1777-5728,SCIE,1.5,PALEONTOLOGY,Q2,29/58,,,,,,,,,,,,,,,
Asian Journal of Law and Society,2052-9015,2052-9023,ESCI,1.5,LAW,Q1,92/443,,,,,,,,,,,,,,,
Chinese Sociological Review,2162-0555,2162-0563,SSCI,1.5,SOCIOLOGY,Q3,114/222,,,,,,,,,,,,,,,
Communications in Number Theory and Physics,1931-4523,1931-4531,SCIE,1.5,MATHEMATICS,Q1,68/492,"MATHEMATICS, APPLIED",Q2,117/345,"PHYSICS, MATHEMATICAL",Q3,34/61,,,,,,,,,
JOURNAL OF POSITIVE BEHAVIOR INTERVENTIONS,1098-3007,1538-4772,SSCI,1.5,"EDUCATION, SPECIAL",Q3,35/62,"PSYCHOLOGY, CLINICAL",Q3,123/184,,,,,,,,,,,,
SOCIAL WORK IN HEALTH CARE,0098-1389,1541-034X,SSCI,1.5,SOCIAL WORK,Q2,34/99,,,,,,,,,,,,,,,
Translational Research in Anatomy,N/A,2214-854X,ESCI,1.5,ANATOMY & MORPHOLOGY,Q2,11/25,,,,,,,,,,,,,,,
European Journal of Social Work,1369-1457,1468-2664,SSCI,1.5,SOCIAL WORK,Q2,34/99,,,,,,,,,,,,,,,
International Journal of Mathematics and Computer Science,1814-0424,1814-0432,ESCI,1.5,MATHEMATICS,Q1,68/492,,,,,,,,,,,,,,,
Annals of Financial Economics,2010-4952,2010-4960,ESCI,1.5,ECONOMICS,Q3,317/626,,,,,,,,,,,,,,,
Corpus Pragmatics,2509-9507,2509-9515,ESCI,1.5,LANGUAGE & LINGUISTICS,N/A,N/A,LINGUISTICS,Q2,112/312,,,,,,,,,,,,
Journal of Global Security Studies,2057-3170,2057-3189,ESCI,1.5,INTERNATIONAL RELATIONS,Q2,84/173,,,,,,,,,,,,,,,
Target-International Journal of Translation Studies,0924-1884,1569-9986,"AHCI, SSCI",1.5,LANGUAGE & LINGUISTICS,N/A,N/A,LINGUISTICS,Q2,112/312,,,,,,,,,,,,
Journal of Evidence-Based Social Work,2640-8066,2640-8074,ESCI,1.5,SOCIAL WORK,Q2,34/99,,,,,,,,,,,,,,,
Journal of the American Association for Laboratory Animal Science,1559-6109,1559-6109,SCIE,1.5,VETERINARY SCIENCES,Q2,84/170,ZOOLOGY,Q2,65/183,,,,,,,,,,,,
BUSINESS HISTORY,0007-6791,1743-7938,SSCI,1.5,BUSINESS,Q3,235/323,HISTORY OF SOCIAL SCIENCES,Q1,6/45,,,,,,,,,,,,
Cultural Sociology,1749-9755,1749-9763,SSCI,1.5,SOCIOLOGY,Q3,114/222,,,,,,,,,,,,,,,
JOURNAL OF THE ROYAL ANTHROPOLOGICAL INSTITUTE,1359-0987,1467-9655,SSCI,1.5,ANTHROPOLOGY,Q2,41/143,,,,,,,,,,,,,,,
Field Methods,1525-822X,1552-3969,SSCI,1.5,ANTHROPOLOGY,Q2,41/143,"SOCIAL SCIENCES, INTERDISCIPLINARY",Q2,99/275,,,,,,,,,,,,
Journal of Public Child Welfare,1554-8732,1554-8740,SSCI,1.5,SOCIAL WORK,Q2,34/99,,,,,,,,,,,,,,,
Results in Applied Mathematics,2590-0374,2590-0374,ESCI,1.5,"MATHEMATICS, APPLIED",Q2,117/345,,,,,,,,,,,,,,,
ZOOLOGY,0944-2006,1873-2720,SCIE,1.5,ZOOLOGY,Q2,65/183,,,,,,,,,,,,,,,
EUROPE-ASIA STUDIES,0966-8136,1465-3427,SSCI,1.5,AREA STUDIES,Q1,38/184,ECONOMICS,Q3,317/626,POLITICAL SCIENCE,Q2,163/332,,,,,,,,,
Journal of Fractal Geometry,2308-1309,2308-1317,SCIE,1.5,MATHEMATICS,Q1,68/492,,,,,,,,,,,,,,,
JOURNAL OF SMALL ANIMAL PRACTICE,0022-4510,1748-5827,SCIE,1.5,VETERINARY SCIENCES,Q2,84/170,,,,,,,,,,,,,,,
Mental Health and Social Inclusion,2042-8316,2042-8308,ESCI,1.5,SOCIAL WORK,Q2,34/99,,,,,,,,,,,,,,,
PalZ,0031-0220,1867-6812,SCIE,1.5,PALEONTOLOGY,Q2,29/58,,,,,,,,,,,,,,,
PRIMATES,0032-8332,1610-7365,SCIE,1.5,ZOOLOGY,Q2,65/183,,,,,,,,,,,,,,,
GEODIVERSITAS,1280-9659,1638-9395,SCIE,1.5,PALEONTOLOGY,Q2,29/58,,,,,,,,,,,,,,,
MORPHOLOGIE,1286-0115,2352-3387,ESCI,1.5,ANATOMY & MORPHOLOGY,Q2,11/25,,,,,,,,,,,,,,,
ZooKeys,1313-2989,1313-2970,SCIE,1.5,ZOOLOGY,Q2,65/183,,,,,,,,,,,,,,,
Asian Population Studies,1744-1730,1744-1749,SSCI,1.5,DEMOGRAPHY,Q3,28/51,,,,,,,,,,,,,,,
Communications on Applied Mathematics and Computation,2096-6385,2661-8893,ESCI,1.5,"MATHEMATICS, APPLIED",Q2,117/345,,,,,,,,,,,,,,,
Metron-International Journal of Statistics,0026-1424,2281-695X,ESCI,1.5,STATISTICS & PROBABILITY,Q2,69/170,,,,,,,,,,,,,,,
Annals of Applied Statistics,1932-6157,1941-7330,SCIE,1.5,STATISTICS & PROBABILITY,Q2,69/170,,,,,,,,,,,,,,,
Fudan Journal of the Humanities and Social Sciences,1674-0750,2198-2600,ESCI,1.5,"SOCIAL SCIENCES, INTERDISCIPLINARY",Q2,99/275,,,,,,,,,,,,,,,
HEALTH & SOCIAL WORK,0360-7283,1545-6854,SSCI,1.5,SOCIAL WORK,Q2,34/99,,,,,,,,,,,,,,,
INDIAN PEDIATRICS,0019-6061,0974-7559,SCIE,1.5,PEDIATRICS,Q3,107/190,,,,,,,,,,,,,,,
NUMERICAL FUNCTIONAL ANALYSIS AND OPTIMIZATION,0163-0563,1532-2467,SCIE,1.5,"MATHEMATICS, APPLIED",Q2,117/345,,,,,,,,,,,,,,,
CONFLICT MANAGEMENT AND PEACE SCIENCE,0738-8942,1549-9219,SSCI,1.5,INTERNATIONAL RELATIONS,Q2,84/173,,,,,,,,,,,,,,,
Forensic Sciences,N/A,2673-6756,ESCI,1.5,"MEDICINE, LEGAL",Q3,16/24,,,,,,,,,,,,,,,
International Journal of Comparative Education and Development,2396-7404,2396-7404,ESCI,1.5,EDUCATION & EDUCATIONAL RESEARCH,Q2,362/760,,,,,,,,,,,,,,,
JOURNAL OF DEVELOPMENTAL AND BEHAVIORAL PEDIATRICS,0196-206X,1536-7312,"SCIE, SSCI",1.5,BEHAVIORAL SCIENCES,Q3,42/57,PEDIATRICS,Q3,107/190,"PSYCHOLOGY, DEVELOPMENTAL",Q4,75/95,,,,,,,,,
Journal of Early Childhood Research,1476-718X,1741-2927,ESCI,1.5,EDUCATION & EDUCATIONAL RESEARCH,Q2,362/760,,,,,,,,,,,,,,,
JOURNAL OF FOURIER ANALYSIS AND APPLICATIONS,1069-5869,1531-5851,SCIE,1.5,"MATHEMATICS, APPLIED",Q2,117/345,,,,,,,,,,,,,,,
Fixed Point Theory and Algorithms for Sciences and Engineering,N/A,2730-5422,ESCI,1.5,"MATHEMATICS, APPLIED",Q2,117/345,,,,,,,,,,,,,,,
Journal of Money Laundering Control,1758-7808,1368-5201,ESCI,1.5,CRIMINOLOGY & PENOLOGY,Q3,59/113,,,,,,,,,,,,,,,
SOCIAL WORK WITH GROUPS,0160-9513,1540-9481,ESCI,1.5,BEHAVIORAL SCIENCES,Q3,42/57,SOCIAL WORK,Q2,34/99,,,,,,,,,,,,
ASIA PACIFIC JOURNAL OF SOCIAL WORK AND DEVELOPMENT,2994-9769,2165-0993,SSCI,1.5,SOCIAL WORK,Q2,34/99,,,,,,,,,,,,,,,
Gender Technology & Development,0971-8524,0973-0656,ESCI,1.5,"SOCIAL SCIENCES, INTERDISCIPLINARY",Q2,99/275,,,,,,,,,,,,,,,
Journal of Veterinary Cardiology,1760-2734,1875-0834,SCIE,1.5,VETERINARY SCIENCES,Q2,84/170,,,,,,,,,,,,,,,
GEOLOGICA ACTA,1695-6133,1696-5728,SCIE,1.5,GEOLOGY,Q2,23/61,,,,,,,,,,,,,,,
INTERNATIONAL SOCIOLOGY,0268-5809,1461-7242,SSCI,1.5,SOCIOLOGY,Q3,114/222,,,,,,,,,,,,,,,
SOCIOLOGICAL RESEARCH ONLINE,1360-7804,1360-7804,SSCI,1.5,SOCIOLOGY,Q3,114/222,,,,,,,,,,,,,,,
Body & Society,1357-034X,1460-3632,SSCI,1.5,SOCIOLOGY,Q3,114/222,,,,,,,,,,,,,,,
Computational and Mathematical Methods,N/A,2577-7408,ESCI,1.5,"MATHEMATICS, APPLIED",Q2,117/345,,,,,,,,,,,,,,,
Families Relationships and Societies,2046-7435,2046-7443,SSCI,1.5,FAMILY STUDIES,Q2,31/66,,,,,,,,,,,,,,,
International Journal of Sociology,0020-7659,1557-9336,ESCI,1.5,SOCIOLOGY,Q3,114/222,,,,,,,,,,,,,,,
Iran-Journal of the British Institute of Persian Studies,0578-6967,2396-9202,AHCI,1.5,ARCHAEOLOGY,N/A,N/A,ASIAN STUDIES,N/A,N/A,,,,,,,,,,,,
Journal of Progressive Human Services,1042-8232,1540-7616,ESCI,1.5,SOCIAL WORK,Q2,34/99,,,,,,,,,,,,,,,
Jamba-Journal of Disaster Risk Studies,1996-1421,2072-845X,ESCI,1.5,"SOCIAL SCIENCES, INTERDISCIPLINARY",Q2,99/275,,,,,,,,,,,,,,,
JOURNAL OF ETHNOBIOLOGY,0278-0771,2162-4496,"SSCI, SCIE",1.5,ANTHROPOLOGY,Q2,41/143,BIOLOGY,Q3,66/106,,,,,,,,,,,,
World Journal of Otorhinolaryngology-Head & Neck Surgery,2095-8811,2589-1081,ESCI,1.5,OTORHINOLARYNGOLOGY,Q2,33/67,,,,,,,,,,,,,,,
Clinical Nursing Research,1054-7738,1552-3799,"SCIE, SSCI",1.5,NURSING,Q3,118/194,,,,,,,,,,,,,,,
Emergency Medicine Australasia,N/A,1742-6723,SCIE,1.5,EMERGENCY MEDICINE,Q3,32/55,,,,,,,,,,,,,,,
Journal of Child and Adolescent Psychiatric Nursing,1073-6077,1744-6171,ESCI,1.5,NURSING,Q3,118/194,,,,,,,,,,,,,,,
Journal of Research on Leadership Education,1942-7751,1942-7751,ESCI,1.5,EDUCATION & EDUCATIONAL RESEARCH,Q2,362/760,,,,,,,,,,,,,,,
ARCHIVES DE PEDIATRIE,0929-693X,1769-664X,SCIE,1.5,PEDIATRICS,Q3,107/190,,,,,,,,,,,,,,,
Disabilities,N/A,2673-7272,ESCI,1.5,REHABILITATION,Q3,105/175,,,,,,,,,,,,,,,
Journal for Labour Market Research,2510-5019,2510-5027,ESCI,1.5,INDUSTRIAL RELATIONS & LABOR,Q3,28/54,,,,,,,,,,,,,,,
Literacy Research and Instruction,1938-8071,1938-8063,ESCI,1.5,EDUCATION & EDUCATIONAL RESEARCH,Q2,362/760,,,,,,,,,,,,,,,
ZOO BIOLOGY,0733-3188,1098-2361,SCIE,1.5,VETERINARY SCIENCES,Q2,84/170,ZOOLOGY,Q2,65/183,,,,,,,,,,,,
Behavioral Sciences of Terrorism and Political Aggression,1943-4472,1943-4480,ESCI,1.5,POLITICAL SCIENCE,Q2,163/332,,,,,,,,,,,,,,,
INTERNATIONAL JOURNAL OF OFFENDER THERAPY AND COMPARATIVE CRIMINOLOGY,0306-624X,1552-6933,SSCI,1.5,CRIMINOLOGY & PENOLOGY,Q3,59/113,"PSYCHOLOGY, APPLIED",Q3,78/115,,,,,,,,,,,,
SYMBOLIC INTERACTION,0195-6086,1533-8665,SSCI,1.5,SOCIOLOGY,Q3,114/222,,,,,,,,,,,,,,,
Childhood Obesity,N/A,2153-2176,SCIE,1.5,PEDIATRICS,Q3,107/190,,,,,,,,,,,,,,,
European Physical Journal H,2102-6459,2102-6467,SCIE,1.5,HISTORY & PHILOSOPHY OF SCIENCE,Q1,21/111,"PHYSICS, MULTIDISCIPLINARY",Q3,63/112,,,,,,,,,,,,
MICROSURGERY,0738-1085,1098-2752,SCIE,1.5,SURGERY,Q3,189/321,,,,,,,,,,,,,,,
Pakistan Journal of Statistics and Operation Research,1816-2711,2220-5810,ESCI,1.5,STATISTICS & PROBABILITY,Q2,69/170,,,,,,,,,,,,,,,
SURGICAL AND RADIOLOGIC ANATOMY,0930-1038,1279-8517,SCIE,1.5,ANATOMY & MORPHOLOGY,Q2,11/25,"RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING",Q3,151/217,SURGERY,Q3,189/321,,,,,,,,,
Womens Health Reports,N/A,2688-4844,ESCI,1.5,OBSTETRICS & GYNECOLOGY,Q3,97/143,,,,,,,,,,,,,,,
ACTA PARASITOLOGICA,1230-2821,1896-1851,SCIE,1.5,PARASITOLOGY,Q3,33/47,VETERINARY SCIENCES,Q2,84/170,ZOOLOGY,Q2,65/183,,,,,,,,,
AUSTRALIAN & NEW ZEALAND JOURNAL OF OBSTETRICS & GYNAECOLOGY,0004-8666,1479-828X,SCIE,1.5,OBSTETRICS & GYNECOLOGY,Q3,97/143,,,,,,,,,,,,,,,
DEVELOPMENTAL DYNAMICS,1058-8388,1097-0177,SCIE,1.5,ANATOMY & MORPHOLOGY,Q2,11/25,DEVELOPMENTAL BIOLOGY,Q4,31/39,,,,,,,,,,,,
Journal for Multicultural Education,2053-535X,2053-535X,ESCI,1.5,EDUCATION & EDUCATIONAL RESEARCH,Q2,362/760,,,,,,,,,,,,,,,
Nursing Practice Today,2383-1154,2383-1162,ESCI,1.5,NURSING,Q3,118/194,,,,,,,,,,,,,,,
Quantitative Methods for Psychology,1913-4126,2292-1354,ESCI,1.5,"SOCIAL SCIENCES, INTERDISCIPLINARY",Q2,99/275,,,,,,,,,,,,,,,
STATISTICAL PAPERS,0932-5026,1613-9798,SCIE,1.5,STATISTICS & PROBABILITY,Q2,69/170,,,,,,,,,,,,,,,
TEST,1133-0686,1863-8260,SCIE,1.5,STATISTICS & PROBABILITY,Q2,69/170,,,,,,,,,,,,,,,
Advances in Orthopedics,2090-3464,2090-3472,ESCI,1.5,ORTHOPEDICS,Q3,96/147,,,,,,,,,,,,,,,
Advances in Skin & Wound Care,1527-7941,1538-8654,"SCIE, SSCI",1.5,DERMATOLOGY,Q3,67/99,NURSING,Q3,118/194,SURGERY,Q3,189/321,,,,,,,,,
CLINICAL OBSTETRICS AND GYNECOLOGY,0009-9201,1532-5520,SCIE,1.5,OBSTETRICS & GYNECOLOGY,Q3,97/143,,,,,,,,,,,,,,,
JOURNAL OF ASIA-PACIFIC ENTOMOLOGY,1226-8615,1876-7990,SCIE,1.5,ENTOMOLOGY,Q2,49/110,,,,,,,,,,,,,,,
ASCE-ASME Journal of Risk and Uncertainty in Engineering Systems Part B-Mechanical Engineering,2332-9017,2332-9025,ESCI,1.5,"ENGINEERING, MULTIDISCIPLINARY",Q3,99/178,,,,,,,,,,,,,,,
BRAIN INJURY,0269-9052,1362-301X,"SCIE, SSCI",1.5,NEUROSCIENCES,Q4,288/330,REHABILITATION,Q3,105/175,,,,,,,,,,,,
Current Transplantation Reports,N/A,2196-3029,ESCI,1.5,SURGERY,Q3,189/321,TRANSPLANTATION,Q3,22/30,,,,,,,,,,,,
Electronic Journal of Statistics,1935-7524,1935-7524,SCIE,1.5,STATISTICS & PROBABILITY,Q2,69/170,,,,,,,,,,,,,,,
ENVIRONMENTAL ARCHAEOLOGY,1461-4103,1749-6314,"AHCI, SCIE",1.5,ARCHAEOLOGY,N/A,N/A,"GEOSCIENCES, MULTIDISCIPLINARY",Q3,184/259,,,,,,,,,,,,
Journal for the Measurement of Physical Behaviour,2575-6605,2575-6613,ESCI,1.5,SPORT SCIENCES,Q3,91/136,,,,,,,,,,,,,,,
Journal of Transplantation,2090-0007,2090-0015,ESCI,1.5,SURGERY,Q3,189/321,,,,,,,,,,,,,,,
Nordic Journal of Digital Literacy,0809-6724,1891-943X,ESCI,1.5,EDUCATION & EDUCATIONAL RESEARCH,Q2,362/760,,,,,,,,,,,,,,,
FACIAL PLASTIC SURGERY,0736-6825,1098-8793,SCIE,1.5,SURGERY,Q3,189/321,,,,,,,,,,,,,,,
Gender Place and Culture,0966-369X,1360-0524,SSCI,1.5,GEOGRAPHY,Q2,83/174,WOMENS STUDIES,Q2,34/71,,,,,,,,,,,,
International Journal of Education in Mathematics Science and Technology,2147-611X,2147-611X,ESCI,1.5,"EDUCATION, SCIENTIFIC DISCIPLINES",Q3,50/89,,,,,,,,,,,,,,,
JASA Express Letters,N/A,2691-1191,ESCI,1.5,ACOUSTICS,Q3,24/41,AUDIOLOGY & SPEECH-LANGUAGE PATHOLOGY,Q3,21/35,,,,,,,,,,,,
Journal of Astronomical Telescopes Instruments and Systems,2329-4124,2329-4221,SCIE,1.5,"ENGINEERING, AEROSPACE",Q3,35/59,INSTRUMENTS & INSTRUMENTATION,Q3,58/81,OPTICS,Q3,93/129,,,,,,,,,
MATHEMATICS OF OPERATIONS RESEARCH,0364-765X,1526-5471,SCIE,1.5,"MATHEMATICS, APPLIED",Q2,117/345,OPERATIONS RESEARCH & MANAGEMENT SCIENCE,Q4,82/109,,,,,,,,,,,,
Anesthesiology Research and Practice,1687-6962,1687-6970,ESCI,1.5,ANESTHESIOLOGY,Q3,40/72,,,,,,,,,,,,,,,
